sr,taluka,site,lat,lon,aquifer,ph,ec,tds,th,ca,mg,na,k,hco3,cl,so4,no3,f,sar,rsc,page,is10500_exceedances,n_params_tested,irrigation_class_e,source_agency,sample_period
1,Nagpur,Hudkeshwar Bk.,21.0831,79.1269,shallow,8.0,1160.0,757.0,245.0,92.0,3.6,152.0,4.7,170.0,199.0,20.0,40.0,,4.22,-2.11,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
2,Umred,Wadegaon,21.0367,79.1908,shallow,7.9,968.0,632.0,345.0,90.0,29.2,62.0,2.0,160.0,128.0,23.0,47.0,,1.45,-4.28,245.0,nitrate,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
3,Nagpur (R),Banawadi,21.05,79.0928,shallow,7.7,670.0,438.0,300.0,90.0,18.2,16.0,2.0,149.0,50.0,22.0,29.0,,0.4,-3.56,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
4,Umred,Matkazari,20.9822,79.1378,shallow,7.6,965.0,630.0,275.0,90.0,12.2,92.0,19.6,273.0,57.0,24.0,31.0,,2.41,-1.03,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
5,Umred,Jamgarh,20.8844,79.1378,shallow,8.1,670.0,438.0,260.0,84.0,12.2,23.0,2.0,152.0,50.0,23.0,28.0,,0.62,-2.7,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
6,Umred,Chargaon,20.8589,79.0814,shallow,7.8,902.0,589.0,370.0,108.0,24.3,37.0,7.8,135.0,160.0,24.0,42.0,,0.83,-5.19,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
7,Nagpur (R),Chimnazari,20.8225,78.9561,shallow,7.6,995.0,650.0,400.0,96.0,38.9,44.0,0.4,202.0,113.0,8.0,43.0,,0.95,-4.69,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
8,Nagpur,Saubhagyanagar,21.0931,79.1208,shallow,7.9,1050.0,686.0,360.0,122.0,13.4,71.0,7.8,142.0,195.0,6.0,81.0,,1.63,-4.88,245.0,nitrate,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
9,Nagpur,Jaitala,21.1119,79.0264,shallow,8.1,315.0,206.0,110.0,40.0,2.4,21.0,3.9,64.0,21.0,23.0,23.0,,0.86,-1.15,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
10,Hingna,Panjari,21.0358,78.9617,shallow,8.1,916.0,598.0,240.0,82.0,8.5,92.0,7.8,199.0,110.0,6.0,31.0,,2.58,-1.55,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
11,Nagpur,Pioli Nadi,21.1889,79.1228,shallow,8.0,815.0,532.0,350.0,88.0,31.6,35.0,3.9,131.0,117.0,48.0,25.0,,0.8,-4.85,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
12,Hingna,Salai Dabha,20.9625,78.95,shallow,7.7,1045.0,682.0,285.0,100.0,8.5,104.0,3.9,174.0,156.0,11.0,48.0,,2.67,-2.85,245.0,nitrate,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
13,Hingna,Lakhmpur,20.9505,78.8874,shallow,7.8,606.0,396.0,250.0,74.0,15.8,23.0,2.0,163.0,21.0,24.0,19.0,,0.63,-2.33,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
14,Hingna,Khairi kh.,20.9094,78.9,shallow,7.6,972.0,635.0,235.0,80.0,8.5,115.0,3.9,163.0,113.0,53.0,37.0,,3.26,-2.03,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
15,Hingna,Chauki,20.8998,78.7814,shallow,7.8,608.0,397.0,230.0,76.0,9.7,35.0,2.0,149.0,25.0,34.0,25.0,,0.99,-2.16,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
16,Hingna,Navegaon,20.9896,78.7948,shallow,7.9,550.0,359.0,200.0,72.0,4.9,35.0,3.9,142.0,25.0,34.0,19.0,,1.06,-1.68,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
17,Hingna,Ambazari,21.0517,78.8374,shallow,8.0,709.0,463.0,290.0,100.0,9.7,28.0,3.9,177.0,35.0,48.0,25.0,,0.7,-2.89,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
18,Umred,Paradgaon,20.9203,79.2192,shallow,7.9,460.0,300.0,200.0,62.0,10.9,14.0,2.0,71.0,64.0,38.0,12.0,,0.42,-2.84,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
19,Umred,Virali,20.9172,79.2828,shallow,8.1,954.0,623.0,380.0,118.0,20.7,46.0,3.9,89.0,181.0,72.0,37.0,,1.03,-6.15,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
20,Umred,Bramhni,20.9128,79.3575,shallow,7.9,2433.0,1589.0,625.0,98.0,92.4,276.0,11.7,43.0,638.0,211.0,37.0,,4.8,-11.8,245.0,hardness,5,fail,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
21,Umred,Belgaon,20.829,79.3378,shallow,8.1,4920.0,3213.0,225.0,64.0,15.8,1035.0,15.6,124.0,1450.0,240.0,12.0,,30.0,-2.47,245.0,TDS,5,fail,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
22,Umred,Dighori,20.7783,79.2319,shallow,8.1,660.0,431.0,240.0,58.0,23.1,41.0,3.9,53.0,149.0,22.0,17.0,,1.16,-3.93,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
23,Nagpur (R),Shiwa,21.1172,78.7439,shallow,8.2,648.0,423.0,270.0,86.0,13.4,23.0,3.9,142.0,46.0,24.0,37.0,,0.61,-3.08,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
24,Hingna,Digdoh,21.0886,78.7567,shallow,7.9,1343.0,877.0,530.0,180.0,19.4,64.0,7.8,238.0,199.0,23.0,37.0,,1.22,-6.71,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
25,Hingna,Turagondi,21.1122,78.8314,shallow,8.0,658.0,430.0,205.0,64.0,10.9,53.0,3.9,82.0,78.0,58.0,25.0,,1.61,-2.76,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
26,Umred,Belpeth/Shedesh war,20.7477,79.1181,shallow,8.1,1600.0,1045.0,640.0,120.0,82.6,78.0,7.8,284.0,206.0,82.0,37.0,,1.34,-8.15,246.0,hardness,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
27,Umred,Kinhala,20.704,79.1405,shallow,7.9,581.0,379.0,200.0,64.0,9.7,41.0,2.0,43.0,103.0,48.0,37.0,,1.27,-3.3,246.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
28,Umred,Sirsi,20.6783,79.1619,shallow,7.9,1435.0,937.0,605.0,142.0,60.8,46.0,7.8,39.0,397.0,58.0,37.0,,0.81,-11.46,246.0,hardness,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
29,Nagpur (R),Bori,20.9194,79.0111,shallow,8.0,2040.0,1332.0,710.0,222.0,37.7,143.0,7.8,121.0,425.0,230.0,37.0,,2.33,-12.22,246.0,hardness,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
30,Nagpur,Gowari,21.2697,78.9478,shallow,7.9,1085.0,709.0,340.0,122.0,8.5,92.0,3.9,46.0,248.0,72.0,37.0,,2.17,-6.04,246.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
31,Umred,Umrer,20.85,79.3333,shallow,7.9,2212.0,1171.0,637.5,139.0,69.3,181.8,10.22,862.4,130.3,182.0,2.0,0.92,3.14,1.49,246.0,hardness,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
32,Parseoni,Ramtek,21.4,79.3,shallow,7.7,1407.0,746.0,387.6,87.9,40.1,102.23,10.0,469.9,117.9,51.0,44.0,0.95,2.27,0.01,246.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
33,Narkhed,Narkhed,21.4667,78.5333,shallow,7.4,1417.0,750.0,351.9,73.6,40.1,109.0,1.99,487.7,85.6,43.0,44.0,0.55,2.54,1.02,246.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
34,Hingna,Gumgaon,20.9917,79.0333,shallow,7.9,758.0,402.0,285.6,83.8,18.2,38.0,8.79,398.5,11.2,12.0,9.0,0.73,0.98,0.84,246.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
35,Ramtek,Deolapar,21.5833,79.3667,shallow,7.7,613.0,325.0,204.0,47.0,20.7,41.0,5.67,345.0,13.6,11.0,0.0,1.36,1.25,1.6,246.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
36,Umred,Panchgaon,21.0333,79.1667,shallow,8.0,584.0,310.0,229.5,63.4,17.0,17.0,1.0,249.8,13.6,41.0,28.0,1.21,0.49,-0.47,246.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
37,Kalmeshwar,Wardhamna,21.1417,78.9333,shallow,7.6,1587.0,841.0,459.0,83.8,59.5,61.0,6.13,475.8,170.0,23.0,4.0,0.51,1.24,-1.29,246.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
38,Kalmeshwar,Kalmeshwar,21.2333,78.9167,shallow,7.7,685.0,363.0,260.1,40.9,37.7,25.0,4.66,178.4,80.6,35.0,3.0,0.46,0.68,-2.22,246.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
39,Ramtek,Chorbaoli,21.4667,79.3167,shallow,8.0,1134.0,566.0,255.0,51.1,30.4,133.0,2.13,487.7,73.2,20.0,0.0,0.84,3.64,2.94,246.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
40,Parseoni,Parseoni,21.55,79.1667,shallow,7.5,696.0,369.0,214.2,42.9,25.5,33.0,33.16,309.3,26.1,19.0,11.0,0.12,0.98,0.82,246.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
41,Parseoni,Nagalwadi,21.5667,79.0167,shallow,7.7,781.0,414.0,229.5,47.0,26.7,51.0,7.07,327.1,28.5,18.0,15.0,0.65,1.47,0.81,246.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
42,Ramtek,Sivani,21.4,79.4708,shallow,7.9,790.0,418.0,234.6,42.9,30.4,69.0,1.41,374.7,33.5,23.0,14.0,1.23,1.97,1.5,246.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
43,Umred,Uti,20.95,79.2167,shallow,7.8,967.0,512.0,311.1,61.3,37.7,51.0,3.25,410.4,38.5,35.0,34.0,0.77,1.26,0.56,246.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
44,Mauda,Chacher,21.2833,79.3417,shallow,7.7,792.0,420.0,234.6,53.1,24.3,65.0,1.81,315.2,45.9,64.0,4.0,1.31,1.85,0.51,246.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
45,Ramtek,Manegaon Tek,21.6806,79.4222,shallow,7.6,1459.0,773.0,433.5,83.8,53.5,42.0,5.56,463.9,95.5,7.0,46.0,0.83,0.88,-0.99,247.0,nitrate,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
46,Saoner,Kelod,21.4597,78.8764,shallow,7.7,1236.0,655.0,311.1,65.4,35.2,128.0,4.52,428.2,75.7,55.0,42.0,1.34,3.17,0.85,247.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
47,Hingna,Sathnaori,21.1333,78.8,shallow,7.8,1015.0,539.0,244.8,65.4,19.4,60.0,43.87,345.0,50.9,41.0,42.0,0.63,1.67,0.78,247.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
48,Parseoni,Nayakund,21.3667,79.1833,shallow,7.8,773.0,409.0,239.7,45.0,30.4,50.0,6.06,309.3,36.0,22.0,33.0,0.92,1.41,0.32,247.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
49,Saoner,Khubala,21.45,78.9667,shallow,7.6,728.0,386.0,234.6,42.9,30.4,41.0,14.06,321.2,23.6,21.0,21.0,0.91,1.17,0.62,247.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
50,Parseoni,Wagholi,21.3333,79.2167,shallow,7.7,666.0,353.0,214.2,40.9,26.7,52.0,4.6,315.2,23.6,14.0,15.0,0.96,1.55,0.92,247.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
51,Ramtek,Sirpur Toli,21.3667,79.4,shallow,7.3,502.0,266.0,198.9,34.7,26.7,23.0,4.07,226.0,16.1,21.0,24.0,0.28,0.71,-0.23,247.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
52,Mauda,Khat,21.2417,79.5458,shallow,7.9,861.0,456.0,249.9,47.0,31.6,56.0,2.04,368.7,48.4,32.0,7.0,2.22,1.55,1.09,247.0,fluoride,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
53,Nagpur (R),Borkhedi,20.8833,78.975,shallow,7.6,826.0,438.0,239.7,49.1,27.9,54.0,3.93,386.6,26.1,18.0,9.0,0.55,1.52,1.58,247.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
54,Katol,Chargaon (Punarwasi),21.2667,78.7583,shallow,7.7,858.0,454.0,285.6,45.0,41.3,56.0,1.22,356.9,31.0,28.0,39.0,0.54,1.45,0.2,247.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
55,Nagpur (R),Nagpur_Ramdasp eth,21.1306,79.0639,shallow,7.9,693.0,367.0,198.9,42.9,21.9,55.0,1.39,303.3,40.9,16.0,4.0,2.49,1.7,1.03,247.0,fluoride,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
56,Narkhed,Lohara,21.2658,78.4083,shallow,7.3,647.0,342.0,229.5,65.4,15.8,43.0,1.6,291.4,36.0,33.0,8.0,0.22,1.24,0.21,247.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
57,Bhiwapur,Nawegaon (Deshmukh),20.8028,79.4286,shallow,7.7,564.0,299.0,163.2,38.8,15.8,41.0,7.56,291.4,16.1,21.0,1.0,1.12,1.4,1.54,247.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
58,Saoner,Kothulna,21.4194,79.0383,shallow,7.7,2329.0,1233.0,647.7,110.4,88.7,125.0,6.73,713.7,232.0,71.0,45.0,1.26,2.15,-1.12,247.0,hardness,6,fail,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
59,Hingna,Kanholi bara,20.9333,78.85,shallow,7.5,688.0,365.0,234.6,63.4,18.2,33.0,4.04,309.3,43.4,22.0,4.0,0.41,0.94,0.4,247.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
60,Umred,Makardhokda,20.8667,79.2194,shallow,7.9,727.0,384.0,295.8,59.3,35.2,28.0,0.66,327.1,28.5,30.0,10.0,0.64,0.71,-0.5,247.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
61,Hingna,Amgaon,20.9944,78.925,shallow,7.4,564.0,299.0,188.7,42.9,19.4,26.0,1.14,243.8,31.0,22.0,1.0,0.38,0.83,0.25,247.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
62,Narkhed,Sawargaon,21.3917,78.635,shallow,7.5,824.0,436.0,285.6,47.0,40.1,24.0,3.0,321.2,48.4,21.0,13.0,0.34,0.62,-0.39,247.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
63,Nagpur (R),Mohpa,21.1417,78.7625,shallow,7.8,877.0,465.0,290.7,49.1,40.1,48.0,1.94,345.0,36.0,28.0,30.0,1.25,1.23,-0.1,247.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
64,Kalmeshwar,Dhapewada,21.3028,78.9139,shallow,7.5,1362.0,722.0,504.9,106.3,57.1,78.0,1.04,463.9,122.8,41.0,44.0,0.44,1.52,-2.41,248.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
65,Kamptee,Koradi,21.2528,79.08,shallow,7.5,476.0,252.0,147.9,38.8,12.2,40.0,4.78,166.5,45.9,24.0,7.0,0.63,1.43,-0.21,248.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
66,Nagpur (R),Nagpur_Hanuma n nagar,21.1264,79.1056,shallow,7.5,1039.0,549.0,362.1,40.9,62.0,53.0,2.18,428.2,58.3,37.0,6.0,1.67,1.22,-0.12,248.0,fluoride,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
67,Saoner,Saoner-1,21.3897,78.9406,shallow,7.9,1304.0,691.0,418.2,63.4,62.0,62.0,0.73,487.7,73.2,38.0,44.0,0.51,1.33,-0.27,248.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
68,Katol,Nandora,21.1706,78.6111,shallow,7.8,397.0,210.0,137.7,26.6,17.0,28.0,2.66,148.7,13.6,64.0,4.0,0.45,1.04,-0.29,248.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
69,Hingna,Takalghat,20.9144,78.9439,shallow,7.6,2209.0,1170.0,627.3,126.7,74.1,109.0,88.05,927.8,155.1,59.0,47.0,0.58,1.9,2.77,248.0,nitrate|hardness,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
70,Saoner,Bhasali Takli,21.3533,78.9906,shallow,7.8,1507.0,798.0,387.6,85.9,41.3,162.0,3.38,606.6,103.0,52.0,46.0,0.31,3.59,2.25,248.0,nitrate,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
71,Umred,Pipaldol,20.8331,79.2656,shallow,8.0,915.0,484.0,321.3,47.0,48.6,43.0,6.34,350.9,68.2,66.0,5.0,0.29,1.05,-0.6,248.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
72,Bhiwapur,Bhiwapur,20.7664,79.5164,shallow,7.6,944.0,500.0,260.1,59.3,26.7,79.0,8.39,315.2,98.0,76.0,15.0,1.02,2.14,0.0,248.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
73,Ramtek,Kharpada,21.5308,79.3475,shallow,7.5,1345.0,760.0,367.2,83.8,37.7,53.0,9.18,315.2,95.5,82.0,46.0,0.25,1.21,-2.12,248.0,nitrate,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
74,Narkhed,Malapur,21.4322,78.6594,shallow,7.7,767.0,406.0,270.3,42.9,38.9,29.0,1.36,71.4,145.2,40.0,42.0,0.49,0.77,-4.18,248.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
75,Nagpur (R),Gonkhedi,21.1364,78.9008,shallow,7.7,724.0,384.0,214.2,42.9,25.5,55.0,1.58,315.2,28.5,50.0,12.0,1.05,1.64,0.92,248.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
76,Katol,Ridhora,21.2322,78.6206,shallow,7.6,638.0,338.0,198.9,40.9,23.1,33.0,2.15,285.5,21.1,20.0,17.0,0.54,1.02,0.74,248.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
77,Nagpur (R),Nagpur_Wadi naka,21.1522,79.0178,shallow,7.6,912.0,483.0,316.2,47.0,47.4,53.0,2.14,309.3,68.2,56.0,22.0,0.33,1.3,-1.18,248.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
78,Nagpur (R),Nagpur_Chinchb hawan,21.0661,79.0611,shallow,7.5,1542.0,818.0,351.9,83.8,34.0,158.0,11.11,493.6,120.4,87.0,44.0,0.69,3.67,1.1,248.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
79,Nagpur (R),Nagpur_Punapur,21.1608,79.1692,shallow,7.5,990.0,524.0,275.4,63.4,27.9,82.0,11.41,208.2,140.2,78.0,2.0,0.19,2.16,-2.06,248.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
80,Nagpur (R),Nagpur_Koradi naka,21.2086,79.0772,shallow,7.8,1591.0,844.0,346.8,85.9,31.6,165.0,9.83,493.6,189.8,14.0,8.0,0.54,3.86,1.2,248.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
81,Nagpur (R),Nagpur_Police line takli,21.1764,79.0653,shallow,7.6,454.0,240.0,204.0,38.8,25.5,17.0,0.84,107.1,21.1,130.0,2.0,0.81,0.52,-2.29,248.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
82,Kuhi,Kuhi-1,21.015,79.3603,shallow,7.9,780.0,413.0,163.2,18.4,27.9,62.0,2.23,321.2,18.6,19.0,14.0,0.7,2.12,2.05,248.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
83,Mauda,Tarsha,21.2258,79.3811,shallow,7.5,2490.0,1318.0,821.1,177.8,89.9,143.0,58.65,731.5,219.6,178.0,36.0,0.51,2.18,-4.3,249.0,hardness,6,fail,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
84,Hingna,Mohgaon Zelpi,21.0683,78.8875,shallow,7.5,749.0,397.0,219.3,47.0,24.3,32.0,0.91,249.8,23.6,35.0,41.0,0.68,0.94,-0.26,249.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
85,Saoner,Patansaongi-2,21.3353,79.0167,shallow,8.0,560.0,297.0,209.1,65.4,10.9,34.0,1.59,309.3,13.6,8.0,14.0,0.45,1.02,0.9,249.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
86,Kalmeshwar,Lohgad,21.3422,78.7231,shallow,7.5,908.0,480.0,321.3,47.0,48.6,36.0,2.99,291.4,45.9,42.0,47.0,0.27,0.88,-1.57,249.0,nitrate,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
87,Umred,Singori,20.7453,79.0697,shallow,7.7,557.0,295.0,209.1,42.9,24.3,43.0,1.09,243.8,23.6,29.0,27.0,0.44,1.3,-0.15,249.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
88,Kalmeshwar,Tondakhairi,21.2692,78.9525,shallow,7.7,825.0,436.0,300.9,47.0,43.7,39.0,15.51,380.6,36.0,19.0,37.0,0.74,0.98,0.29,249.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
89,Katol,Metpanjara,21.2658,78.7128,shallow,7.7,1391.0,737.0,469.2,124.7,37.7,39.0,6.32,368.7,112.9,87.0,30.0,0.48,0.78,-3.29,249.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
90,Kalmeshwar,Sillori,21.3022,78.9731,shallow,7.7,2343.0,1241.0,877.2,249.4,60.8,106.0,114.2,921.9,187.4,126.0,46.0,0.24,1.56,-2.36,249.0,nitrate|hardness,6,fail,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
